Kabupaten,Jumlah Banjir
01   N i a s,39
02   Mandailing Natal,95
03   Tapanuli Selatan,26
04   Tapanuli Tengah,38
05   Tapanuli Utara,18
06   Toba ,6
07   Labuhanbatu,15
08   A s a h a n,20
09   Simalungun,18
10   D  a  i  r  i,10
11   K  a  r  o,11
12   Deli Serdang,32
13   L a n g k a t,24
14   Nias Selatan,25
15   Humbang Hasundutan ,8
16   Pakpak Bharat,–  
17   Samosir,11
18   Serdang Bedagai,28
19   Batu Bara ,13
20   Padang Lawas Utara,24
21   Padang Lawas,19
22   Labuhanbatu Selatan,28
23   Labuhanbatu Utara,22
24   Nias Utara,16
25   Nias Barat,29
71   S i b o l g a,1
72   Tanjungbalai,–  
73   Pematangsiantar,5
74   Tebing Tinggi,12
75   M e d a n,29
76   B i n j a i,1
77   Padangsidimpuan,10
78  Gunungsitoli,14
